Viral coefficient,Cycle time,Retention rate,Resurrection rate,New,Active,Lost
0.6130190498322641,14.189395912766242,0.15,0.005108078882036684,10,301.0,679.0
0.614480486751919,14.143563609444639,0.15,0.005132477440400283,10,306.0,684.0
0.6159571106649495,14.0979598956895,0.15,0.005156754310446376,10,311.0,689.0
0.6174490223485518,14.052583631405607,0.15,0.005180910099097976,10,316.0,694.0
0.6189563224011192,14.007433682183988,0.15,0.005204945410251059,10,321.0,699.0
0.620479111226983,13.962508919273562,0.15,0.005228860844789656,10,326.0,704.0
0.6220174890209883,13.917808219552915,0.15,0.005252657000600876,10,331.0,709.0
0.6235715557529056,13.873330465502226,0.15,0.005276334472589853,10,336.0,714.0
0.6251414111516798,13.829074545175327,0.15,0.005299893852694621,10,341.0,719.0
0.6267271546895163,13.785039352171907,0.15,0.005323335729900908,10,346.0,724.0
0.6283288855658073,13.741223785609845,0.15,0.005346660690256866,10,351.0,729.0
0.6299467026908973,13.697626750097696,0.15,0.005369869316887719,10,356.0,734.0
0.6315807046696886,13.6542471557073,0.15,0.005392962190010342,10,361.0,739.0
0.6332309897850918,13.611083917946539,0.15,0.005415939886947765,10,366.0,744.0
0.6348976559813172,13.568135957732222,0.15,0.005438802982143608,10,372.0,748.0
0.6365808008470119,13.525402201363107,0.15,0.005461552047176442,10,378.0,752.0
0.6382805215982431,13.482881580493057,0.15,0.005484187650774078,10,384.0,756.0
0.6399969150613288,13.440573032104336,0.15,0.005506710358827784,10,390.0,760.0
0.6417300776555164,13.39847549848103,0.15,0.005529120734406435,10,396.0,764.0
0.6434801053755126,13.35658792718261,0.15,0.0055514193377705886,10,402.0,768.0
0.6452470937738652,13.314909271017607,0.15,0.005573606726386488,10,408.0,772.0
0.6470311379431967,13.273438488017447,0.15,0.005595683454940007,10,414.0,776.0
0.6488323324982949,13.232174541410398,0.15,0.005617650075350508,10,420.0,780.0
0.6506507715580585,13.191116399595641,0.15,0.005639507136784644,10,426.0,784.0
0.6524865487273024,13.150263036117497,0.15,0.005661255185670091,10,432.0,788.0
0.6543397570784218,13.109613429639749,0.15,0.005682894765709203,10,438.0,792.0
0.6562104891329197,13.069166563920117,0.15,0.005704426417892609,10,444.0,796.0
0.6580988368427965,13.028921427784855,0.15,0.005725850680512733,10,450.0,800.0
0.6600048915718078,12.988877015103458,0.15,0.005747168089177259,10,456.0,804.0
0.6619287440765875,12.949032324763529,0.15,0.005768379176822512,10,462.0,808.0
0.6638704844876426,12.909386360645728,0.15,0.005789484473726788,10,468.0,812.0
0.6658302022902193,12.869938131598893,0.15,0.00581048450752361,10,474.0,816.0
0.6678079863050422,12.830686651415242,0.15,0.005831379803214916,10,480.0,820.0
0.6698039246689323,12.791630938805723,0.15,0.005852170883184187,10,486.0,824.0
0.6718181048153009,12.752770017375488,0.15,0.0058728582672095036,10,492.0,828.0
0.6738506134545259,12.71410291559948,0.15,0.005893442472476545,10,498.0,832.0
0.6759015365542114,12.675628666798136,0.15,0.005913924013591516,10,504.0,836.0
0.6779709593193322,12.637346309113237,0.15,0.005934303402594009,10,510.0,840.0
0.6800589661722672,12.599254885483843,0.15,0.005954581148969812,10,516.0,844.0
0.6821656407327235,12.561353443622384,0.15,0.005974757759663641,10,523.0,847.0
0.6842910657975527,12.523641035990831,0.15,0.005994833739091813,10,530.0,850.0
0.6864353233204654,12.486116719777039,0.15,0.006014809589154859,10,537.0,853.0
0.6885984943916419,12.448779556871141,0.15,0.006034685809250072,10,544.0,856.0
0.6907806592172455,12.411628613842126,0.15,0.006054462896283989,10,551.0,859.0
0.6929818970988411,12.374662961914478,0.15,0.006074141344684816,10,558.0,862.0
0.6952022864127181,12.337881676944974,0.15,0.006093721646414789,11,565.0,865.0
0.6974419045891262,12.301283839399575,0.15,0.00611320429098247,11,572.0,869.0
0.6997008280914228,12.264868534330436,0.15,0.006132589765454988,11,579.0,873.0
0.7019791323951355,12.228634851353036,0.15,0.006151878554470214,11,586.0,877.0
0.7042768919669462,12.192581884623412,0.15,0.0061710711402488795,11,593.0,881.0
0.7065941802435947,12.156708732815517,0.15,0.006190168002606628,11,600.0,885.0
0.7089310696107096,12.121014499098685,0.15,0.006209169618966012,11,607.0,889.0
0.7112876313815675,12.08549829111522,0.15,0.006228076464368431,11,614.0,893.0
0.7136639357757828,12.050159220958069,0.15,0.006246889011486004,11,621.0,897.0
